edo_code,year,sex,rango_edad,escolaridad,pob,homtot,thom,edo_nom
01,2007,Hombre,41 - 64,Primaria,37089.715,0,0,Aguascalientes
01,2007,Hombre,41 - 64,Secundaria,21576.107,2,9.2695122,Aguascalientes
01,2007,Hombre,41 - 64,Sin escolaridad,4060.3733,0,0,Aguascalientes
01,2007,Hombre,41 - 64,Todos,96964,7,7.2191739,Aguascalientes
01,2007,Hombre,6 - 11,No determinado,,0,,Aguascalientes
01,2007,Hombre,6 - 11,Primaria,58065.871,0,0,Aguascalientes
01,2007,Hombre,6 - 11,Sin escolaridad,866.4491,0,0,Aguascalientes
01,2007,Hombre,6 - 11,Todos,76920,0,0,Aguascalientes
01,2007,Hombre,65 +,Licenciatura o más,2166.3967,0,0,Aguascalientes
01,2007,Hombre,65 +,No determinado,,0,,Aguascalientes
01,2007,Hombre,65 +,Preparatoria,1556.1204,0,0,Aguascalientes
01,2007,Hombre,65 +,Primaria,13247.731,0,0,Aguascalientes
01,2007,Hombre,65 +,Secundaria,1627.9672,0,0,Aguascalientes
01,2007,Hombre,65 +,Sin escolaridad,5668.3013,0,0,Aguascalientes
01,2007,Hombre,65 +,Todos,24537,0,0,Aguascalientes
01,2007,Hombre,Todos,Licenciatura o más,66904.008,1,1.4946787,Aguascalientes
01,2007,Hombre,Todos,No determinado,,11,,Aguascalientes
01,2007,Hombre,Todos,Preparatoria,80464.547,4,4.9711332,Aguascalientes
01,2007,Hombre,Todos,Primaria,182653.86,2,1.0949672,Aguascalientes
01,2007,Hombre,Todos,Secundaria,144136.92,10,6.9378476,Aguascalientes
01,2007,Hombre,Todos,Sin escolaridad,35624.891,5,14.035131,Aguascalientes
01,2007,Hombre,Todos,Todos,546354,35,6.4061031,Aguascalientes
01,2007,Mujer,0 - 5,No determinado,,0,,Aguascalientes
01,2007,Mujer,0 - 5,Sin escolaridad,44532.707,1,2.2455406,Aguascalientes
01,2007,Mujer,0 - 5,Todos,75939,1,1.3168464,Aguascalientes
01,2007,Mujer,12 - 15,No determinado,,0,,Aguascalientes
01,2007,Mujer,12 - 15,Preparatoria,982.25885,0,0,Aguascalientes
01,2007,Mujer,12 - 15,Primaria,19814.018,0,0,Aguascalientes
01,2007,Mujer,12 - 15,Secundaria,27297.66,0,0,Aguascalientes
01,2007,Mujer,12 - 15,Sin escolaridad,131.10028,1,762.7749,Aguascalientes
01,2007,Mujer,12 - 15,Todos,48376,1,2.0671408,Aguascalientes
01,2007,Mujer,16 - 18,Licenciatura o más,588.23877,0,0,Aguascalientes
01,2007,Mujer,16 - 18,No determinado,,0,,Aguascalientes
01,2007,Mujer,16 - 18,Preparatoria,15478.498,0,0,Aguascalientes
01,2007,Mujer,16 - 18,Primaria,3344.2117,0,0,Aguascalientes
01,2007,Mujer,16 - 18,Secundaria,14641.747,0,0,Aguascalientes
01,2007,Mujer,16 - 18,Sin escolaridad,180.56696,0,0,Aguascalientes
01,2007,Mujer,16 - 18,Todos,34304,0,0,Aguascalientes
01,2007,Mujer,19 - 25,Licenciatura o más,17709.418,0,0,Aguascalientes
01,2007,Mujer,19 - 25,No determinado,,0,,Aguascalientes
01,2007,Mujer,19 - 25,Preparatoria,21303.172,0,0,Aguascalientes
01,2007,Mujer,19 - 25,Primaria,6940.8784,0,0,Aguascalientes
01,2007,Mujer,19 - 25,Secundaria,26534.277,1,3.7687101,Aguascalientes
01,2007,Mujer,19 - 25,Sin escolaridad,608.74597,0,0,Aguascalientes
01,2007,Mujer,19 - 25,Todos,73165,1,1.3667737,Aguascalientes
01,2007,Mujer,26 - 40,Licenciatura o más,25280.127,1,3.9556763,Aguascalientes
01,2007,Mujer,26 - 40,No determinado,,2,,Aguascalientes
01,2007,Mujer,26 - 40,Preparatoria,25448.014,0,0,Aguascalientes
01,2007,Mujer,26 - 40,Primaria,31820.934,0,0,Aguascalientes
01,2007,Mujer,26 - 40,Secundaria,48961.93,0,0,Aguascalientes
01,2007,Mujer,26 - 40,Sin escolaridad,1514.8667,0,0,Aguascalientes
01,2007,Mujer,26 - 40,Todos,133350,3,2.2497187,Aguascalientes
01,2007,Mujer,41 - 64,Licenciatura o más,14397.745,0,0,Aguascalientes
01,2007,Mujer,41 - 64,No determinado,,0,,Aguascalientes
01,2007,Mujer,41 - 64,Preparatoria,11420.334,0,0,Aguascalientes
01,2007,Mujer,41 - 64,Primaria,49425.184,0,0,Aguascalientes
01,2007,Mujer,41 - 64,Secundaria,26634.744,0,0,Aguascalientes
01,2007,Mujer,41 - 64,Sin escolaridad,5642.1836,0,0,Aguascalientes
01,2007,Mujer,41 - 64,Todos,108142,0,0,Aguascalientes
01,2007,Mujer,6 - 11,No determinado,,0,,Aguascalientes
01,2007,Mujer,6 - 11,Primaria,55831.012,0,0,Aguascalientes
01,2007,Mujer,6 - 11,Sin escolaridad,513.62207,0,0,Aguascalientes
01,2007,Mujer,6 - 11,Todos,75046,0,0,Aguascalientes
01,2007,Mujer,65 +,Licenciatura o más,697.88812,0,0,Aguascalientes
01,2007,Mujer,65 +,No determinado,,0,,Aguascalientes
01,2007,Mujer,65 +,Preparatoria,1143.9335,0,0,Aguascalientes
01,2007,Mujer,65 +,Primaria,17301.771,0,0,Aguascalientes
01,2007,Mujer,65 +,Secundaria,2344.6201,0,0,Aguascalientes
01,2007,Mujer,65 +,Sin escolaridad,7309.6465,0,0,Aguascalientes
01,2007,Mujer,65 +,Todos,29224.396,1,3.4217987,Aguascalientes
01,2007,Mujer,Todos,Licenciatura o más,63482.105,1,1.575247,Aguascalientes
01,2007,Mujer,Todos,No determinado,,2,,Aguascalientes
01,2007,Mujer,Todos,Preparatoria,81751.242,0,0,Aguascalientes
01,2007,Mujer,Todos,Primaria,200728.77,0,0,Aguascalientes
01,2007,Mujer,Todos,Secundaria,157385.89,1,.63538098,Aguascalientes
01,2007,Mujer,Todos,Sin escolaridad,38569.652,2,5.1854239,Aguascalientes
01,2007,Mujer,Todos,Todos,577546.38,7,1.2120239,Aguascalientes
01,2008,Ambos,0 - 5,No determinado,,0,,Aguascalientes
01,2008,Ambos,0 - 5,Sin escolaridad,89089.508,1,1.1224667,Aguascalientes
01,2008,Ambos,0 - 5,Todos,154497,1,.64726174,Aguascalientes
01,2008,Ambos,12 - 15,No determinado,,0,,Aguascalientes
01,2008,Ambos,12 - 15,Preparatoria,2033.5409,0,0,Aguascalientes
01,2008,Ambos,12 - 15,Primaria,40923.73,0,0,Aguascalientes
01,2008,Ambos,12 - 15,Secundaria,54414.113,0,0,Aguascalientes
01,2008,Ambos,12 - 15,Sin escolaridad,354.28256,0,0,Aguascalientes
01,2008,Ambos,12 - 15,Todos,98082,0,0,Aguascalientes
01,2008,Ambos,16 - 18,Licenciatura o más,786.48682,0,0,Aguascalientes
01,2008,Ambos,16 - 18,No determinado,,1,,Aguascalientes
01,2008,Ambos,16 - 18,Preparatoria,29514.461,0,0,Aguascalientes
01,2008,Ambos,16 - 18,Primaria,7348.2549,2,27.217346,Aguascalientes
01,2008,Ambos,16 - 18,Secundaria,30995.871,3,9.6787081,Aguascalientes
01,2008,Ambos,16 - 18,Sin escolaridad,427.94138,0,0,Aguascalientes
01,2008,Ambos,16 - 18,Todos,69180,6,8.673027,Aguascalientes
01,2008,Ambos,19 - 25,Licenciatura o más,32041.855,0,0,Aguascalientes
01,2008,Ambos,19 - 25,No determinado,,2,,Aguascalientes
01,2008,Ambos,19 - 25,Preparatoria,42323.613,4,9.4509888,Aguascalientes
01,2008,Ambos,19 - 25,Primaria,15882.558,3,18.888645,Aguascalientes
01,2008,Ambos,19 - 25,Secundaria,51952.418,3,5.7745147,Aguascalientes
01,2008,Ambos,19 - 25,Sin escolaridad,1021.2819,0,0,Aguascalientes
01,2008,Ambos,19 - 25,Todos,143464,12,8.3644676,Aguascalientes
